Unique ID,Typ,Title,CE Start Date,CE End Date,AH Start Date,AH End Date,Date photograph taken,Date Qualif.,Medium,Technique,Measurements,Artist,Orig. Location,Collection,Inventory #,Folder,Photographer,Copyright for Photo,Image Quality,Image Rights,Published in,Notes
XX_AKAFA_IAA12164,Image,IAA12164,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12164,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/07c23cfd-8c38-48cc-a25b-8f602aeeb771/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/07c23cfd-8c38-48cc-a25b-8f602aeeb771/iiif,,Exterior view along street
XX_AKAFA_IAA12163,Image,IAA12163,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12163,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/0fa5608b-9f2c-44bc-ada1-4b17a45168c1/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/0fa5608b-9f2c-44bc-ada1-4b17a45168c1/iiif,,Exterior view to stone wall
XX_AKAFA_IAA12162,Image,IAA12162,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12162,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/afc1837a-eb58-402a-9e29-88bf1d0e4695/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/afc1837a-eb58-402a-9e29-88bf1d0e4695/iiif,,Exterior view along street
XX_AKAFA_IAA12161,Image,IAA12161,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12161,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/53a3b5f7-f76e-4a71-a6e8-1883b70083a6/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/53a3b5f7-f76e-4a71-a6e8-1883b70083a6/iiif,,Aerial view to harbor showing amphitheatre
XX_AKAFA_IAA12160,Image,IAA12160,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12160,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/a74a0f85-0483-4b20-84dc-ca99bbb3a5b6/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/a74a0f85-0483-4b20-84dc-ca99bbb3a5b6/iiif,,Aerial view to harbor and car park
XX_AKAFA_IAA12159,Image,IAA12159,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12159,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/b94c02ea-b575-4de1-9708-09249e5ecd5d/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/b94c02ea-b575-4de1-9708-09249e5ecd5d/iiif,,Exterior view along street
XX_AKAFA_IAA12158,Image,IAA12158,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12158,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/279fb91c-0c83-4acc-a2d1-b85cdc7bcfe0/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/279fb91c-0c83-4acc-a2d1-b85cdc7bcfe0/iiif,,Elevated view to dilapidated façade
XX_AKAFA_IAA12157,Image,IAA12157,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12157,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/0f51472f-4535-450a-af4d-54fda873f7a6/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/0f51472f-4535-450a-af4d-54fda873f7a6/iiif,,Exterior view from street level to façade
XX_AKAFA_IAA12156,Image,IAA12156,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12156,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/17c73afc-8f7e-408e-93fc-fe680eb879fb/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/17c73afc-8f7e-408e-93fc-fe680eb879fb/iiif,,Exterior view through whitewashed façades
XX_AKAFA_IAA12155,Image,IAA12155,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12155,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/9deac392-24db-4d03-9589-b621703790c0/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/9deac392-24db-4d03-9589-b621703790c0/iiif,,Exterior view between buildings
