Unique ID,Typ,Title,CE Start Date,CE End Date,AH Start Date,AH End Date,Date photograph taken,Date Qualif.,Medium,Technique,Measurements,Artist,Orig. Location,Collection,Inventory #,Folder,Photographer,Copyright for Photo,Image Quality,Image Rights,Published in,Notes
XX_WC_77759566,Image,Antakya Archaeological Museum Dionysos and Ariadne mosaic Top decoration in 2008 04.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,77759566,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/1/15/Antakya_Archaeological_Museum_Dionysos_and_Ariadne_mosaic_Top_decoration_in_2008_04.jpg,,,"4077b
<p>From Samandağı, second to third century AD, inv. 945. Top of the picture: gryphons, bowls and eagles. 
</p><p>From Enc. Britt.: (Ariadne:) in Greek mythology, daughter of Pasiphae and the Cretan king Minos. She fell in love with the Athenian hero Theseus and, with a thread or glittering jewels, helped him escape the Labyrinth after he slew the Minotaur, a beast half bull and half man that Minos kept in the Labyrinth. Here the legends diverge: she was abandoned by Theseus and hanged herself; Theseus carried her to Naxos and left her there to die or to marry the god Dionysus; or she died in childbirth on Cyprus.This must be the Dionysus variation: 
</p>
The border is most impressive, this is a part."
XX_WC_87822217,Image,Antakya Archaeological Museum Dionysos and Ariadne mosaic Top decoration in 2019 08.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,87822217,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/0/09/Antakya_Archaeological_Museum_Dionysos_and_Ariadne_mosaic_Top_decoration_in_2019_08.jpg,,,"Dionysus and Ariadne, 2nd – 3rd century AD, from Samandağ. From the Enc. Britt.: in Greek mythology, daughter of Pasiphae and the Cretan king Minos. She fell in love with the Athenian hero Theseus and, with a thread or glittering jewels, helped him escape the Labyrinth after he slew the Minotaur, a beast half bull and half man that Minos kept in the Labyrinth. Here the legends diverge: she was abandoned by Theseus and hanged herself; Theseus carried her to Naxos and left her there to die or to marry the god Dionysus; or she died in childbirth on Cyprus.
Ancient Greek poets and artists liked to portray Ariadne asleep on the shore of Naxos while Dionysus gazes at her with love and admiration. Ariadne's story was later taken up by European artists, writers, and composers, including Richard Strauss in his opera Ariadne auf Naxos (1912; Ariadne on Naxos)."
XX_WC_87653628,Image,Antakya Archaeological Museum Display of specific digs sept 2019 5834.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,87653628,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/c/cc/Antakya_Archaeological_Museum_Display_of_specific_digs_sept_2019_5834.jpg,,,"Showcases with finds from several excavaions. The museum is huge and has several corridors and rooms with similar collections, arranged according to a site or period."
XX_WC_77783092,Image,Antakya Archaeological Museum Early lion sculpture 5996.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,77783092,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/2/22/Antakya_Archaeological_Museum_Early_lion_sculpture_5996.jpg,,,"From Açana, the entrance to a temple (staircase), 13th century BC, Hittite.
<p>Tell Açana is the modern name of the ancient site of Alalakh, which was a late Bronze Age city-state. It was founded by the Amorites around 2000 BC, when the first palace was built. In the 18th-16 th century BC, the city was part of the kingdom of Yamhad (modern Aleppo) and governed by Yarim-Lim and his descendents, according to the short chronology found at Mari, at that time Alalakh was destroyed, most likely by Hittite king Hattusili I, around 1580 BC.
</p>
In the 15th century BC Alalakh was again the seat of a local dynasty, which was vassal of Yamhad. In the mid-14th century BC, the Hittite Suppiluliuma I assumed control of northern Syria, then including Alalakh, that he incorporated into the Hittite Empire. The city was probably destroyed by the Sea People in the 12th century BC and never reoccupied. Excavations revealed palaces, temples, private houses and fortifications."
XX_WC_87617183,Image,Antakya Archaeological Museum Early lion sculpture sept 2019 5756.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,87617183,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/a/af/Antakya_Archaeological_Museum_Early_lion_sculpture_sept_2019_5756.jpg,,,Basalt 14th century BC
XX_WC_164142065,Image,Antakya Archaeological Museum Early lion sculpture sept 2019 5963.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,164142065,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/3/39/Antakya_Archaeological_Museum_Early_lion_sculpture_sept_2019_5963.jpg,,,One of pictures I had not published earlier.
XX_WC_164142064,Image,Antakya Archaeological Museum Early lion sculpture sept 2019 5964.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,164142064,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/b/b8/Antakya_Archaeological_Museum_Early_lion_sculpture_sept_2019_5964.jpg,,,One of pictures I had not published earlier.
XX_WC_87823246,Image,Antakya Archaeological Museum Eros and Psyche mosaic in 2019 12.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,87823246,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/b/b1/Antakya_Archaeological_Museum_Eros_and_Psyche_mosaic_in_2019_12.jpg,,,"Sleeping Eros about to be robbed of his quiver by Psyche. From Samandağı, third century AD. Inv. 1021. This mosaic is in the garden.
From the Enc. Britt.: The fullest version of the tale (of Psyche) is that told by the Latin author Apuleius in his Metamorphoses (The Golden Ass). According to Apuleius, the jealous Venus commanded her son Cupid (the god of love) to inspire Psyche with love for the most despicable of men. Instead, Cupid placed Psyche in a remote palace where he could visit her secretly and, by his warning, only in total darkness. One night Psyche lit a lamp and found that the figure at her side was the god of love himself. When a drop of oil from the lamp awakened him, he reproached Psyche and fled. Wandering the earth in search of him, Psyche fell into the hands of Venus, who imposed upon her difficult tasks. Finally, touched by Psyche's repentance, Cupid rescued her, and, at his instigation, Jupiter made her immortal and gave her in marriage to Cupid."
XX_WC_77759572,Image,Antakya Archaeological Museum Eros and Psyche mosaic in 2019 13.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,77759572,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/1/1a/Antakya_Archaeological_Museum_Eros_and_Psyche_mosaic_in_2019_13.jpg,,,"Sleeping Eros about to be robbed of his quiver by Psyche. From Samandağı, third century AD. Inv. 1021. This mosaic is in the garden.
From the Enc. Britt.: The fullest version of the tale (of Psyche) is that told by the Latin author Apuleius in his Metamorphoses (The Golden Ass). According to Apuleius, the jealous Venus commanded her son Cupid (the god of love) to inspire Psyche with love for the most despicable of men. Instead, Cupid placed Psyche in a remote palace where he could visit her secretly and, by his warning, only in total darkness. One night Psyche lit a lamp and found that the figure at her side was the god of love himself. When a drop of oil from the lamp awakened him, he reproached Psyche and fled. Wandering the earth in search of him, Psyche fell into the hands of Venus, who imposed upon her difficult tasks. Finally, touched by Psyche's repentance, Cupid rescued her, and, at his instigation, Jupiter made her immortal and gave her in marriage to Cupid."
XX_WC_165584919,Image,Antakya Archaeological Museum Eurotas and Lakedemona mosaic in 2004 01.jpg,,,,,,,,,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,Wikimedia Commons,165584919,,"<a href=""//commons.wikimedia.org/wiki/User:Dosseman"" title=""User:Dosseman"">Dosseman</a>",,https://upload.wikimedia.org/wikipedia/commons/1/10/Antakya_Archaeological_Museum_Eurotas_and_Lakedemona_mosaic_in_2004_01.jpg,,,"This mosaic is called Lakedemonia and Evratos, inv. 826. Antakya, 4th century AD. The two figures are personifications of rivers in the region."
